date dh dh7 cdbs
2009-09-07 59.92 12.69 24.97
2009-09-08 59.86 12.75 24.97
2009-09-09 59.77 12.81 25.0
2009-09-10 59.73 12.82 25.04
2009-09-11 59.72 12.83 25.04
2009-09-12 59.71 12.84 25.04
2009-09-13 59.71 12.84 25.04
2009-09-14 59.68 12.85 25.06
2009-09-15 59.6 12.9 25.09
2009-09-16 59.49 12.95 25.15
2009-09-17 59.35 13.01 25.23
2009-09-18 59.3 13.04 25.25
2009-09-19 59.21 13.11 25.27
2009-09-21 59.13 13.18 25.28
2009-09-22 59.03 13.28 25.28
2009-09-23 58.99 13.32 25.28
2009-09-24 59.0 13.35 25.24
2009-09-25 58.88 13.44 25.27
2009-09-26 58.86 13.45 25.28
2009-09-27 58.84 13.48 25.27
2009-09-28 58.8 13.51 25.28
2009-09-29 58.77 13.55 25.27
2009-09-30 58.72 13.57 25.3
2009-10-01 58.69 13.59 25.31
2009-10-02 58.68 13.62 25.29
2009-10-03 58.69 13.62 25.28
2009-10-04 58.65 13.67 25.27
2009-10-05 58.6 13.72 25.27
2009-10-06 58.57 13.75 25.27
2009-10-07 58.49 13.81 25.3
2009-10-08 58.47 13.85 25.28
2009-10-09 58.46 13.87 25.27
2009-10-10 58.37 13.95 25.28
2009-10-11 58.36 13.94 25.3
2009-10-12 58.36 13.95 25.29
2009-10-13 58.36 13.95 25.29
2009-10-14 58.27 13.99 25.36
2009-10-15 58.21 14.02 25.39
2009-10-16 58.19 14.03 25.4
2009-10-17 58.12 14.1 25.39
2009-10-18 58.1 14.12 25.39
2009-10-19 57.99 14.21 25.42
2009-10-20 57.93 14.26 25.43
2009-10-21 57.86 14.32 25.44
2009-10-22 57.85 14.34 25.42
2009-10-23 57.85 14.35 25.41
2009-10-24 57.82 14.37 25.42
2009-10-25 57.76 14.45 25.4
2009-10-26 57.75 14.46 25.4
2009-10-27 57.74 14.48 25.4
2009-10-29 57.74 14.49 25.39
2009-10-30 57.74 14.49 25.39
2009-10-31 57.67 14.56 25.4
2009-11-01 57.67 14.56 25.4
2009-11-02 57.63 14.6 25.4
2009-11-03 57.61 14.63 25.39
2009-11-04 57.61 14.63 25.39
2009-11-05 57.55 14.68 25.4
2009-11-06 57.53 14.7 25.4
2009-11-07 57.54 14.75 25.35
2009-11-08 57.52 14.77 25.35
2009-11-09 57.52 14.79 25.34
2009-11-10 57.49 14.83 25.33
